word,source,level,letters,syllables,morphemes,aoa,imageability,wcbc_freq,tasa_freq,childes_freq,consistency,class,count
a,dolch,pre_k,1,1,1,5,NA,4716,64863,9971,0.14681506,closed,4
and,dolch,pre_k,3,1,1,2,1.3,6395,61867,8509,0.009615385,closed,4
away,dolch,pre_k,4,2,1,2,NA,254,3640,2904,0.652458758,closed,4
big,dolch,pre_k,3,1,1,2,4.5,386,5137,4630,0.972222222,open,3
blue,dolch,pre_k,4,1,1,6.333333333333333,6.1,149,787,1930,0.638888889,open,2
can,dolch,pre_k,3,1,1,5.75,5.1,498,10332,7133,0.74267101,closed,3
come,dolch,pre_k,4,1,1,3,2.2,286,4657,5352,0.340909091,open,5
down,dolch,pre_k,4,1,1,9.125,4,502,6766,5356,0.820512821,closed,4
find,dolch,pre_k,4,1,1,5,2.5,131,3086,2491,0.523809524,open,4
for,dolch,pre_k,3,1,1,4.714285714285714,1.3,1131,17889,6501,0.115681234,closed,4
funny,dolch,pre_k,5,2,2,6,NA,44,569,1764,0.710301946,open,2
go,dolch,pre_k,2,1,1,5.25,2.2,515,7077,7602,0.320135364,open,3
help,dolch,pre_k,4,1,1,6.5,2.8,152,3302,2631,1,open,3
here,dolch,pre_k,4,1,1,2,1.8,277,4731,7116,0.36,closed,4
i,dolch,pre_k,1,1,1,2,NA,2781,42064,9985,0.292991035,closed,4
in,dolch,pre_k,2,1,1,2,1.7,2012,35743,8357,0.897183099,closed,3
is,dolch,pre_k,2,1,1,6.75,1.2,1304,22752,8304,0.029182879,closed,5
it,dolch,pre_k,2,1,1,3,1.6,1562,35517,9641,0.976744186,closed,3
jump,dolch,pre_k,4,1,1,4.857142857142857,4.8,34,587,955,1,open,2
little,dolch,pre_k,6,2,1,5.666666666666667,NA,923,6326,5448,0.78402608,closed,4
look,dolch,pre_k,4,1,1,4,3.9,214,5445,5607,0.96969697,open,4
make,dolch,pre_k,4,1,1,8.666666666666666,2.8,231,4091,4343,0.966666667,open,3
me,dolch,pre_k,2,1,1,3,3.5,738,9446,7555,0.204887628,closed,4
my,dolch,pre_k,2,1,1,2,1.7,1104,10595,6232,0.686046512,closed,4
not,dolch,pre_k,3,1,1,7,2,829,13592,6562,0.954545455,closed,3
one,dolch,pre_k,3,1,1,3.3333333333333335,4.9,675,10518,7257,0.157894737,closed,5
play,dolch,pre_k,4,1,1,4.5,4.5,135,1961,4446,0.959349593,open,3
red,dolch,pre_k,3,1,1,8,6,192,1580,2257,0.921568627,open,4
run,dolch,pre_k,3,1,1,8,4.6,97,1455,1001,0.965691221,open,3
said,dolch,pre_k,4,1,2,5.333333333333333,2.1,1395,32326,3064,0.1,open,5
see,dolch,pre_k,3,1,1,6,3,376,7814,7007,0.926267281,open,4
the,dolch,pre_k,3,1,1,3,1.3,9394,157423,9746,0.204887628,closed,5
three,dolch,pre_k,5,1,1,2,5.3,161,1686,2817,0.926267281,closed,3
to,dolch,pre_k,2,1,1,4,1.4,3772,71163,9138,0.010152284,closed,5
two,dolch,pre_k,3,1,1,2,4.8,240,3602,4509,0.010152284,closed,5
up,dolch,pre_k,2,1,1,5.666666666666667,3.8,852,12286,6737,0.96969697,closed,3
we,dolch,pre_k,2,1,1,7,2.3,569,11367,6526,0.204887628,closed,4
where,dolch,pre_k,5,1,1,4,1.9,304,3962,5440,0.6,closed,5
yellow,dolch,pre_k,6,2,1,3.5,NA,88,524,1414,0.529013779,open,2
you,dolch,pre_k,3,1,1,6,3.1,2217,39429,10398,0.333333333,closed,4
all,dolch,k,3,1,1,2,2.3,1045,11684,6173,0.972972973,closed,3
am,dolch,k,2,1,1,7,1.8,194,2054,1646,0.932291667,closed,3
are,dolch,k,3,1,1,2,1.3,608,12184,6724,0.02,closed,5
at,dolch,k,2,1,1,3,1.4,753,16216,6045,0.844827586,closed,3
ate,dolch,k,3,1,1,2,3.9,103,514,1304,1,open,2
be,dolch,k,2,1,1,2,1.3,663,11145,5522,0.204887628,closed,4
black,dolch,k,5,1,1,6,6.4,95,863,1005,1,open,3
brown,dolch,k,5,1,1,2,5.8,80,577,749,0.820512821,open,2
but,dolch,k,3,1,1,5.2,1.9,1065,14996,4971,0.885714286,closed,3
came,dolch,k,4,1,1,2,2.4,312,4613,1877,1,open,3
did,dolch,k,3,1,1,2,1.9,281,6538,6363,0.926829268,closed,3
do,dolch,k,2,1,1,5,1.7,674,10957,8087,0.010152284,closed,5
eat,dolch,k,3,1,1,5.333333333333333,4.8,148,2135,4176,0.741935484,open,3
four,dolch,k,4,1,1,2,5.9,79,764,2078,0.345454545,closed,4
get,dolch,k,3,1,1,3,1.7,303,7714,6997,1,closed,3
good,dolch,k,4,1,1,5.6,2.6,332,4653,5602,0.537037037,open,4
have,dolch,k,4,1,1,7,1.9,555,12785,7108,0.04,closed,5
he,dolch,k,2,1,1,2,3.5,2456,41058,6202,0.204887628,closed,4
into,dolch,k,4,2,2,8,NA,405,6194,1986,0.455456538,closed,5
like,dolch,k,4,1,1,5.333333333333333,2.7,559,8796,7086,1,closed,3
must,dolch,k,4,1,1,4,1.9,139,2444,1176,1,closed,3
new,dolch,k,3,1,1,2,3,187,2618,2016,0.974025974,open,4
no,dolch,k,2,1,1,6,2.1,531,6965,8648,0.320135364,closed,3
now,dolch,k,3,1,1,2,1.9,396,5918,6070,0.515555556,closed,4
on,dolch,k,2,1,1,4.25,1.9,1390,20829,7975,0.40023753,closed,3
our,dolch,k,3,1,1,4,1.8,192,2239,1958,0.036363636,closed,4
out,dolch,k,3,1,1,3.8,2.2,648,10800,5624,0.993150685,closed,4
please,dolch,k,6,1,1,3,2.4,126,652,2463,0.384615385,open,3
pretty,dolch,k,6,2,1,2,NA,68,555,2332,0.463463526,open,4
ran,dolch,k,3,1,1,2,4.3,146,2468,487,0.74267101,open,2
ride,dolch,k,4,1,1,4,4.6,47,695,1277,1,open,2
saw,dolch,k,3,1,1,4.8,3.9,160,3322,1913,0.972222222,open,3
say,dolch,k,3,1,1,4,2.8,190,2622,4266,0.959349593,open,4
she,dolch,k,3,1,1,2,3.8,1417,21964,4539,0.204887628,closed,4
so,dolch,k,2,1,1,4.5,1.7,821,8343,5354,0.320135364,closed,3
soon,dolch,k,4,1,1,2,2.2,110,1660,795,1,open,3
that,dolch,k,4,1,1,6,2,1280,21483,9160,0.103448276,closed,3
there,dolch,k,5,1,1,6,NA,634,10264,7192,0.6,closed,4
they,dolch,k,4,1,1,4,2.3,1043,18450,5266,0.4,closed,4
