word,aoa
'tain't,6
'twon't,10
'twould,6
(as a) matter of fact,4
(bad) cess,13
(been) had,10
(by) turns,6
(call it) quits,6
(can't) help it,4
(can't) possibly,6
(doesn't know) beans,10
(draw a) bead on,12
(fought) with,4
(gave me a) turn,12
(get one's) goat,6
(get the) gate,10
(in) keeping,13
(keep in) mind,6
(keep) time,8
(man) of the hour,6
(on the) morn,13
(out of the) question,8
(put) kibosh on,12
(say a) mouthful,12
(take) leave of,12
(the) masses,2
(to no) avail,8
(to the) fore,12
(to the) quick,12
(to) pieces,2
(twenty) odd,10
(work) away,6
(you) yourself,8
a,5
a bon marche,14
a cappella,13
a deux,12
a fortiori,14
a haute voix,14
a la,14
a la carte,12
a la mode,10.5
a posteriori,13.5
a priori,14
a votre sante,14
a-bomb,4
a-one,6
a.b.,13
a.d.,6
a.m.,2
a.o.k.,12
aardvark,14
ab,12
ab initio,12
ab ovo,12
abaca,14
aback,12
abacus,10
abaft,14
abalone,14
abandon,7
abandoned,2
abase,14
abasement,14
abash,14
abashed,12
abate,12
abated,14
abatement,14
abattoir,14
abba,14
abbacy,12
abbe,14
abbess,14
abbey,10.5
abbot,10
abbreviate,4
abbreviation,4
abc's,2
abdicate,11
abdication,13
abdomen,6
abdominal,6
abduct,10
abduction,11.5
abeam,14
abecedarian,14
abed,12
abegging,13
aberrant,14
aberration,14
abert,14
abet,13
abettor,14
abeyance,14
abhor,10
abhorrent,12
abide,8
abiding,12
ability,2
abiogenesis,13
abiotic,14
abject,14
abjure,13
ablation,14
ablative,13
ablaut,14
ablaze,2
able,6
able-bodied,6
abloom,6
ablution,14
ably,8
abnegation,14
abnormal,6
aboard,4
abode,12.5
aboil,13
abolish,6
abolition,8
abolitionist,8
abomasum,14
abominable,12
abominate,13
abomination,13
aboriginal,14
aborigines,12
abort,12
abortion,11
abortive,14
abound,13
about,4.375
about face,9.5
about to,4
above,3.6
above stealing,12
aboveboard,13
abracadabra,10
abrade,14
abrasion,14
abrasive,12
abreaction,14
abreast,13
abridge,12
abridgment,10
abroad,8.5
abrogate,14
abrupt,8
abruption,14
abscess,8
abscind,12
abscissa,14
abscond,14
absence,5
absent,2
absent-minded,4
absentee,6
absently,10
absinthe,14
absolute,9
absolute zero,10
absolutely,6
absolution,14
absolutism,12
absolve,14
absorb,6
absorbed,6
absorbent,6
absorbing,6
absorption,9.333333333333334
abstain,12
abstemious,14
abstention,13
abstinence,14
abstract,11.8
abstracted,14
abstractedly,13
abstraction,12
abstractionism,14
abstruse,13
absurd,8
absurdity,10
abuilding,13
abundance,8
abundant,8
abundantly,8
abuse,6
abusive,9
abut,14
abutment,14
abuzz,10
abysm,14
abysmal,14
abyss,12
acacia,14
academe,12
academic,11
academician,10
academy,6
acanthus,13
acarology,14
acaudal,13
accede,14
accelerate,6
acceleration,6
accelerator,8
accent,7.6
accentuate,12
accept,3
acceptable,8
acceptance,8
acceptation,14
access,11.333333333333334
accessible,10
accession,14
accessory,7
acciaccatura,14
accidence,14
accident,3
accidental,4
accipiter,14
acclaim,13
acclamation,13
acclimated,12.5
acclimatize,14
acclivity,13
accolade,14
accommodate,8
accommodating,10
