word,childes,childes_rank,childes_freq_z,childes_rank_z
you,312239,1,97.86663989982736,-1.7320675892601767
the,262447,2,82.25188070499351,-1.732000358440948
i,205249,3,64.31460169579309,-1.7319331276217196
a,200797,4,62.91845556919845,-1.7318658968024911
it,175298,5,54.92197531716864,-1.7317986659832625
and,139299,7,43.63269759675524,-1.7316642043448056
that,126255,8,39.542102341746144,-1.731596973525577
to,123663,9,38.72925176669374,-1.7315297427063485
what,123321,10,38.622000649152106,-1.73146251188712
is,101163,11,31.673257191586057,-1.7313952810678914
this,92463,12,28.944939289211085,-1.731328050248663
yeah,87986,13,27.540953168644105,-1.7312608194294345
in,87890,14,27.51084759179031,-1.731193588610206
yyy,87320,15,27.332095729220917,-1.7311263577909775
do,83436,16,26.114074265677882,-1.7310591269717488
no,83233,17,26.050413514622466,-1.7309918961525204
oh,77630,18,24.293314065541207,-1.730924665333292
on,76260,19,23.863682395856873,-1.7308574345140633
okay,67748,20,21.194321248153912,-1.7307902036948348
one,62081,21,19.417151414503454,-1.7307229728756064
that's,58161,22,18.18784035964025,-1.7306557420563777
he,57914,23,18.110381219193513,-1.7305885112371493
don't,56952,24,17.8086982511378,-1.7305212804179209
go,55760,25,17.434887338536537,-1.7304540495986922
your,55199,26,17.258957873797186,-1.7303868187794638
there,54800,27,17.13383156999861,-1.730319587960235
here,54575,28,17.063271624247534,-1.7302523571410067
we,51642,29,16.143483531412382,-1.7301851263217782
can,50802,30,15.880059733941698,-1.7301178955025496
see,49785,31,15.56112877914683,-1.7300506646833211
me,49605,32,15.504680822545968,-1.7299834338640927
want,49113,33,15.35038974117028,-1.729916203044864
like,48562,34,15.177596274019866,-1.7298489722256356
are,47513,35,14.848630126940401,-1.7297817414064072
it's,45768,36,14.301398547670939,-1.7297145105871785
have,44131,37,13.788035742361993,-1.72964727976795
right,43615,38,13.626218266772856,-1.7295800489487216
my,43609,39,13.624336668219494,-1.729512818129493
of,42883,40,13.396663243262687,-1.7294455873102645
put,41076,41,12.829988478941816,-1.7293783564910359
get,40430,42,12.627403034696503,-1.7293111256718074
know,39623,43,12.374328029269307,-1.729243894852579
up,39180,44,12.235403336079408,-1.7291766640333504
for,37296,45,11.644581390323726,-1.729109433214122
gonna,36487,46,11.390879185378742,-1.7290422023948935
did,36258,47,11.319064840592091,-1.7289749715756648
with,35679,48,11.137490580192653,-1.7289077407564364
what's,34641,49,10.811974030461018,-1.728840509937208
i'm,34460,50,10.755212474101263,-1.7287732791179793
not,34357,51,10.722911698935215,-1.7287060482987509
look,32949,52,10.28136323841292,-1.7286388174795222
now,31795,53,9.91946911664962,-1.7285715866602938
was,31779,54,9.91445152050732,-1.7285043558410653
they,30730,55,9.585485373427856,-1.7284371250218367
all,29284,56,9.132020122067603,-1.7283698942026082
at,28632,57,8.927553079268927,-1.7283026633833798
mommy,28279,58,8.816852364379459,-1.7282354325641511
some,28161,59,8.779847592830006,-1.7281682017449227
little,26757,60,8.339553531343286,-1.7281009709256943
how,26469,61,8.249236800781908,-1.7280337401064656
where,25879,62,8.06421294303464,-1.7279665092872372
so,25205,63,7.852846705540303,-1.7278992784680085
she,25006,64,7.790440353520462,-1.72783204764878
good,24947,65,7.7719379677457345,-1.7277648168295516
be,24694,66,7.692597228745635,-1.727697586010323
think,24644,67,7.676917240800951,-1.7276303551910945
you're,24277,68,7.561826129286973,-1.727563124371866
just,24072,69,7.49753817871377,-1.7274958935526374
out,23894,70,7.441717421630695,-1.727428662733409
come,23532,71,7.328194308911185,-1.7273614319141806
down,23220,72,7.230351184136358,-1.727294201094952
but,22726,73,7.075432903242883,-1.7272269702757235
wanna,22162,74,6.89856263922685,-1.727159739456495
going,21979,75,6.841173883349308,-1.7270925086372664
yes,21894,76,6.814517903843345,-1.727025277818038
got,21785,77,6.780335530123935,-1.7269580469988093
them,21761,78,6.772809135910487,-1.7268908161795808
why,20870,79,6.493391750736222,-1.7268235853603524
well,20590,80,6.405583818245994,-1.7267563545411238
huh,20305,81,6.316207886961297,-1.7266891237218953
too,19990,82,6.2174239629097885,-1.7266218929026669
then,19666,83,6.115817641028238,-1.7265546620834382
let's,19186,84,5.965289756759274,-1.7264874312642098
more,18369,85,5.7090787537431424,-1.7264202004449813
make,18328,86,5.696221163628501,-1.7263529696257527
uh,17875,87,5.5541604728496665,-1.7262857388065243
because,17821,88,5.537226085869408,-1.7262185079872956
when,17682,89,5.493635719383187,-1.7261512771680672
her,17523,90,5.443773357719093,-1.7260840463488387
big,17410,91,5.408336584964108,-1.72601681552961
two,17281,92,5.367882216066824,-1.7259495847103816
if,17087,93,5.307043862841451,-1.7258823538911532
back,17013,94,5.283837480683319,-1.7258151230719245
over,16924,95,5.255927102141782,-1.725747892252696
um,16917,96,5.253731903829526,-1.7256806614334677
his,16831,97,5.22676232456467,-1.725613430614239
take,16687,98,5.181603959283981,-1.7255461997950106
say,16633,99,5.164669572303723,-1.7254789689757821
about,16568,100,5.1442855879756335,-1.7254117381565535
he's,16542,101,5.136131994244399,-1.725344507337325
him,16359,102,5.078743238366856,-1.7252772765180964
play,15733,103,4.882429789299416,-1.725210045698868
eat,15698,104,4.871453797738138,-1.7251428148796395
baby,15462,105,4.79744425463923,-1.7250755840604108
i'll,15407,106,4.780196267900078,-1.7250083532411824
does,15182,107,4.709636322149001,-1.724941122421954
daddy,15170,108,4.7058731250422765,-1.7248738916027253
there's,15015,109,4.657265162413757,-1.7248066607834969
hm,14932,110,4.631236382425582,-1.7247394299642684
off,14666,111,4.547818846559864,-1.7246721991450398
who,14475,112,4.487921292611173,-1.7246049683258113
where's,13658,113,4.231710289595041,-1.7245377375065827
doing,13310,114,4.122577573500042,-1.7244705066873542
can't,13105,115,4.058289622926838,-1.7244032758681258
these,12885,116,3.98929767597023,-1.7243360450488971
have_to,12751,117,3.9472753082784773,-1.7242688142296687
said,12410,118,3.8403377904957345,-1.7242015834104403
would,12140,119,3.755665855594442,-1.7241343525912116
mhm,12130,120,3.7525298580055053,-1.7240671217719832
ah,12111,121,3.7465714625865254,-1.7239998909527547
let,11715,122,3.6223859580646303,-1.723932660133526
or,11697,123,3.6167411624045442,-1.7238654293142976
didn't,11599,124,3.586008386032964,-1.723798198495069
very,11447,125,3.5383412226811255,-1.7237309676758406
those,11384,126,3.518584437870824,-1.7236637368566121
book,11199,127,3.460568482475494,-1.7235965060373835
something,11002,128,3.3987893299734404,-1.723529275218155
tell,10763,129,3.323838987597852,-1.7234620443989266
will,10725,130,3.3119221967598924,-1.723394813579698
need,10651,131,3.2887158146017605,-1.7233275827604695
could,10633,132,3.283071018941674,-1.723260351941241
hey,10603,133,3.273663026174864,-1.7231931211220124
other,10543,134,3.2548470406412435,-1.723125890302784
car,10216,135,3.1522999194830117,-1.7230586594835555
alright,9994,136,3.082680773008616,-1.7229914286643269
another,9954,137,3.070136782652869,-1.7229241978450984
uhhuh,9830,138,3.0312504125500532,-1.7228569670258698
way,9785,139,3.017138423399838,-1.7227897362066413
time,9717,140,2.995813639795068,-1.722722505387413
mm,9629,141,2.968216861012425,-1.7226552745681842
house,9582,142,2.953477672344422,-1.7225880437489558
were,9372,143,2.8876217229767502,-1.7225208129297274
had,9268,144,2.8550073480518083,-1.7224535821104987
they're,9198,145,2.8330553649292507,-1.7223863512912703
sit,9176,146,2.82615617023359,-1.7223191204720418
give,9069,147,2.792600996031967,-1.7222518896528132
has,8975,148,2.763122618695961,-1.7221846588335847
read,8893,149,2.73740743846668,-1.722117428014356
an,8767,150,2.697893868846077,-1.7220501971951276
goes,8752,151,2.6931898724626717,-1.7219829663758992
here's,8643,152,2.6590074987432613,-1.7219157355566705
mom,8490,153,2.611026735632529,-1.721848504737442
else,8344,154,2.565241170834052,-1.7217812739182137
turn,8336,155,2.5627323727629028,-1.721714043098985
again,8280,156,2.545170786264857,-1.7216468122797566
three,8216,157,2.5251004016956617,-1.7215795814605281
www,8087,158,2.484646032798378,-1.7215123506412995
really,8007,159,2.459558052086884,-1.721445119822071
nice,7941,160,2.4388604679999015,-1.7213778890028426
boy,7855,161,2.411890888735045,-1.721310658183614
please,7847,162,2.409382090663896,-1.7212434273643855
