word,source,level
the,fry,1a
of,fry,1a
and,fry,1a
a,fry,1a
to,fry,1a
in,fry,1a
is,fry,1a
you,fry,1a
that,fry,1a
it,fry,1a
he,fry,1a
was,fry,1a
for,fry,1a
on,fry,1a
are,fry,1a
as,fry,1a
with,fry,1a
his,fry,1a
they,fry,1a
I,fry,1a
at,fry,1a
be,fry,1a
this,fry,1a
have,fry,1a
from,fry,1a
or,fry,1b
one,fry,1b
had,fry,1b
by,fry,1b
word,fry,1b
but,fry,1b
not,fry,1b
what,fry,1b
all,fry,1b
were,fry,1b
we,fry,1b
when,fry,1b
your,fry,1b
can,fry,1b
said,fry,1b
there,fry,1b
use,fry,1b
an,fry,1b
each,fry,1b
which,fry,1b
she,fry,1b
do,fry,1b
how,fry,1b
their,fry,1b
if,fry,1b
will,fry,1c
up,fry,1c
other,fry,1c
about,fry,1c
out,fry,1c
many,fry,1c
then,fry,1c
them,fry,1c
these,fry,1c
so,fry,1c
some,fry,1c
her,fry,1c
would,fry,1c
make,fry,1c
like,fry,1c
him,fry,1c
into,fry,1c
time,fry,1c
has,fry,1c
look,fry,1c
two,fry,1c
more,fry,1c
write,fry,1c
go,fry,1c
see,fry,1c
number,fry,1d
no,fry,1d
way,fry,1d
could,fry,1d
people,fry,1d
my,fry,1d
than,fry,1d
first,fry,1d
water,fry,1d
been,fry,1d
call,fry,1d
who,fry,1d
oil,fry,1d
now,fry,1d
find,fry,1d
long,fry,1d
down,fry,1d
day,fry,1d
did,fry,1d
get,fry,1d
come,fry,1d
made,fry,1d
may,fry,1d
part,fry,1d
over,fry,1d
new,fry,2a
sound,fry,2a
take,fry,2a
only,fry,2a
little,fry,2a
work,fry,2a
know,fry,2a
place,fry,2a
year,fry,2a
live,fry,2a
me,fry,2a
back,fry,2a
give,fry,2a
most,fry,2a
very,fry,2a
after,fry,2a
thing,fry,2a
our,fry,2a
just,fry,2a
name,fry,2a
good,fry,2a
sentence,fry,2a
man,fry,2a
think,fry,2a
say,fry,2a
great,fry,2b
where,fry,2b
help,fry,2b
through,fry,2b
much,fry,2b
before,fry,2b
line,fry,2b
right,fry,2b
too,fry,2b
mean,fry,2b
old,fry,2b
any,fry,2b
same,fry,2b
tell,fry,2b
boy,fry,2b
follow,fry,2b
came,fry,2b
want,fry,2b
show,fry,2b
also,fry,2b
around,fry,2b
form,fry,2b
three,fry,2b
small,fry,2b
set,fry,2b
put,fry,2c
end,fry,2c
does,fry,2c
another,fry,2c
well,fry,2c
large,fry,2c
must,fry,2c
big,fry,2c
even,fry,2c
such,fry,2c
because,fry,2c
turn,fry,2c
here,fry,2c
why,fry,2c
ask,fry,2c
went,fry,2c
men,fry,2c
read,fry,2c
need,fry,2c
land,fry,2c
different,fry,2c
home,fry,2c
us,fry,2c
move,fry,2c
try,fry,2c
kind,fry,2d
hand,fry,2d
picture,fry,2d
again,fry,2d
change,fry,2d
off,fry,2d
play,fry,2d
spell,fry,2d
air,fry,2d
away,fry,2d
animal,fry,2d
house,fry,2d
point,fry,2d
page,fry,2d
letter,fry,2d
mother,fry,2d
answer,fry,2d
found,fry,2d
study,fry,2d
still,fry,2d
learn,fry,2d
should,fry,2d
America,fry,2d
world,fry,2d
high,fry,2d
every,fry,3a
near,fry,3a
add,fry,3a
food,fry,3a
between,fry,3a
own,fry,3a
below,fry,3a
country,fry,3a
plant,fry,3a
last,fry,3a
school,fry,3a
father,fry,3a
keep,fry,3a
tree,fry,3a
never,fry,3a
start,fry,3a
city,fry,3a
earth,fry,3a
eye,fry,3a
light,fry,3a
thought,fry,3a
head,fry,3a
under,fry,3a
story,fry,3a
saw,fry,3a
left,fry,3b
don't,fry,3b
few,fry,3b
while,fry,3b
along,fry,3b
might,fry,3b
close,fry,3b
something,fry,3b
seem,fry,3b
next,fry,3b
hard,fry,3b
open,fry,3b
example,fry,3b
begin,fry,3b
life,fry,3b
always,fry,3b
those,fry,3b
both,fry,3b
paper,fry,3b
together,fry,3b
got,fry,3b
group,fry,3b
often,fry,3b
run,fry,3b
important,fry,3b
until,fry,3c
children,fry,3c
side,fry,3c
feet,fry,3c
car,fry,3c
mile,fry,3c
night,fry,3c
walk,fry,3c
white,fry,3c
sea,fry,3c
began,fry,3c
grow,fry,3c
took,fry,3c
river,fry,3c
four,fry,3c
carry,fry,3c
state,fry,3c
once,fry,3c
book,fry,3c
hear,fry,3c
stop,fry,3c
without,fry,3c
second,fry,3c
late,fry,3c
miss,fry,3c
idea,fry,3d
enough,fry,3d
eat,fry,3d
face,fry,3d
watch,fry,3d
far,fry,3d
Indian,fry,3d
real,fry,3d
almost,fry,3d
let,fry,3d
above,fry,3d
girl,fry,3d
sometimes,fry,3d
mountain,fry,3d
cut,fry,3d
young,fry,3d
talk,fry,3d
soon,fry,3d
list,fry,3d
song,fry,3d
leave,fry,3d
family,fry,3d
body,fry,3d
music,fry,3d
color,fry,3d
