source,n,Proportion,Coverage
Kilpatrick,20,0.65,13
Dolch,20,1,20
Fry,20,1,20
Fundations,20,0.95,19
Wonders,20,1,20
Fountas_Pinnell,20,0.9,18
Kilpatrick,50,0.42,21
Dolch,50,0.92,46
Fry,50,0.96,48
Fundations,50,0.72,36
Wonders,50,0.98,49
Fountas_Pinnell,50,0.82,41
Kilpatrick,100,0.4,40
Dolch,100,0.73,73
Fry,100,0.81,81
Fundations,100,0.61,61
Wonders,100,0.94,94
Fountas_Pinnell,100,0.75,75
Kilpatrick,250,0.28,70
Dolch,250,0.572,143
Fry,250,0.628,157
Fundations,250,0.448,112
Wonders,250,0.876,219
Fountas_Pinnell,250,0.624,156
