word,tasa_freq
a,64863
a's,4
aaron,9
ab,0
abandon,0
abandoned,5
abandoning,0
abbey,0
abbot,2
abbott,0
abbreviated,0
abbreviation,0
abbreviations,0
abdomen,1
abdominal,0
abe,27
abide,0
abigail,4
abilities,0
ability,7
able,451
abnormal,0
abnormalities,0
abnormally,0
aboard,31
abode,1
abolish,0
abolished,0
abolition,0
abolitionist,0
abolitionists,0
aborigines,0
abortion,0
abortions,0
abound,0
about,7433
above,433
abraham,3
abrasive,0
abreast,0
abroad,1
abrupt,0
abruptly,10
absence,2
absences,0
absent,0
absolute,2
absolutely,23
absorb,1
absorbed,2
absorbing,0
absorbs,0
absorption,0
abstract,0
absurd,1
abu,18
abundance,0
abundant,0
abuse,0
abused,0
abuses,0
abyss,0
academic,0
academy,4
accelerate,0
accelerated,1
accelerating,0
acceleration,0
accelerator,0
accent,4
accept,22
acceptable,0
acceptance,0
accepted,19
accepting,2
accepts,0
access,0
accessible,0
accessories,0
accident,53
accidental,0
accidentally,2
accidents,13
accommodate,0
accommodation,0
accompanied,0
accompanies,0
accompaniment,0
accompany,0
accompanying,0
accomplish,1
accomplished,0
accomplishing,0
accomplishment,0
accomplishments,0
accord,1
accordance,0
accorded,0
according,11
accordingly,0
account,16
accountability,0
accountant,0
accountants,0
accounted,0
accounting,0
accounts,2
accumulate,0
accumulated,0
accumulates,0
accumulating,0
accumulation,0
accuracy,0
accurate,3
accurately,1
accusation,1
accused,5
accusing,2
accustomed,2
ace,1
acetate,0
ache,19
ached,13
aches,4
achieve,0
achieved,0
achievement,0
achievements,0
achieving,0
achilles,1
aching,3
acid,3
acidic,0
acids,0
acknowledge,0
acknowledged,1
acknowledging,0
acorn,6
acorns,15
acquaintance,1
acquaintances,0
acquainted,1
acquire,0
acquired,0
acquires,0
acquiring,0
acquisition,0
acre,6
acres,15
across,1034
act,161
acted,47
acting,46
action,80
actions,8
activated,0
active,10
actively,0
activities,11
activity,11
actor,23
actors,9
actress,2
acts,33
actual,2
actually,50
acute,1
acutely,0
ad,26
ada,19
adam,104
adam's,4
adams,25
adapt,0
adaptability,0
adaptable,0
adaptation,0
adaptations,0
adapted,3
adapting,0
adaptive,0
add,103
added,232
addiction,0
addicts,0
adding,16
addition,2
additional,0
additions,0
additives,0
address,43
addressed,5
addresses,2
addressing,0
adds,16
adept,0
adequate,0
adequately,0
adhere,0
adherence,0
adhesive,0
adjacent,0
adjective,4
adjectives,7
adjoining,0
adjust,3
adjustable,0
adjusted,3
adjusting,1
adjustment,0
adjustments,0
administer,0
administered,0
administering,0
administration,0
administrative,0
administrator,0
administrators,0
admirable,0
admiral,14
admiration,4
admire,6
admired,9
admirers,0
admiring,7
admission,0
admit,38
admitted,17
admitting,0
adobe,3
adolescence,0
adolescent,0
adolescents,0
