orth,wcbc_freq,rank
the,9394,1
and,6395,2
a,4716,3
to,3772,4
i,2781,5
he,2456,6
you,2217,7
of,2080,8
in,2012,9
was,1766,10
it,1562,11
she,1417,12
said,1395,13
on,1390,14
is,1304,15
that,1280,16
his,1279,17
for,1131,18
my,1104,19
with,1077,20
but,1065,21
all,1045,22
they,1043,23
her,1002,24
little,923,25
up,852,26
not,829,27
so,821,28
as,782,29
at,753,30
me,738,31
one,675,32
do,674,33
what,665,34
be,663,35
out,648,36
had,646,37
when,643,38
there,634,39
are,608,40
then,587,41
we,569,42
like,559,43
have,555,44
no,531,45
him,522,46
go,515,47
this,509,48
your,508,49
down,502,50
can,498,51
were,492,52
will,491,53
them,450,54
just,447,55
could,438,56
if,428,57
into,405,58
now,396,59
time,390,60
back,387,61
big,386,62
would,380,63
see,376,64
very,368,65
from,365,66
day,362,67
went,355,68
its,351,69
oh,345,70
im,335,71
who,334,72
good,332,73
their,322,74
old,321,75
too,317,76
came,312,77
jenny,305,78
mr,305,79
some,305,80
about,304,81
where,304,82
get,303,83
how,303,84
house,302,85
over,301,86
by,287,87
or,287,88
come,286,89
mother,286,90
did,281,91
here,277,92
night,268,93
home,262,94
dont,256,95
well,255,96
away,254,97
cat,254,98
an,252,99
know,250,100
right,250,101
more,248,102
got,243,103
way,243,104
two,240,105
think,238,106
ill,231,107
make,231,108
love,224,109
long,222,110
off,218,111
dog,215,112
look,214,113
thought,211,114
going,210,115
looked,210,116
never,209,117
again,208,118
through,208,119
tree,199,120
am,194,121
our,192,122
red,192,123
made,190,124
say,190,125
put,189,126
after,188,127
new,187,128
says,184,129
man,183,130
around,180,131
things,178,132
baby,170,133
asked,169,134
thats,167,135
us,167,136
want,167,137
other,166,138
bear,164,139
has,163,140
take,162,141
three,161,142
bed,160,143
saw,160,144
train,160,145
why,159,146
didnt,157,147
story,156,148
youre,155,149
help,152,150
thing,152,151
blue,149,152
tell,149,153
eat,148,154
really,148,155
ran,146,156
next,143,157
mama,141,158
took,140,159
must,139,160
pete,139,161
door,138,162
green,138,163
cant,137,164
everyone,137,165
george,137,166
thomas,137,167
even,136,168
along,135,169
play,135,170
morning,134,171
called,133,172
ever,133,173
first,132,174
school,132,175
still,132,176
find,131,177
head,131,178
miss,131,179
always,130,180
only,129,181
something,129,182
z,129,183
boy,128,184
great,128,185
before,126,186
much,126,187
please,126,188
cried,125,189
stop,125,190
because,123,191
snow,122,192
car,121,193
toad,121,194
truck,121,195
found,120,196
once,120,197
small,120,198
let,119,199
fish,118,200
frog,118,201
mouse,118,202
sat,118,203
hat,117,204
hear,117,205
left,116,206
captain,115,207
dogs,115,208
last,114,209
every,113,210
another,112,211
been,112,212
bird,112,213
dear,112,214
fast,112,215
gitchy,111,216
sleep,111,217
water,111,218
soon,110,219
dance,109,220
feet,108,221
cats,107,222
heard,107,223
town,107,224
should,106,225
bus,105,226
walked,104,227
ate,103,228
eyes,103,229
best,102,230
sky,102,231
than,102,232
under,102,233
youll,102,234
give,100,235
name,100,236
any,99,237
does,99,238
place,98,239
while,98,240
people,97,241
run,97,242
gave,96,243
yes,96,244
balloon,95,245
black,95,246
friend,95,247
sun,95,248
until,94,249
world,94,250
each,93,251
high,93,252
many,93,253
those,93,254
behind,92,255
friends,92,256
happy,92,257
may,92,258
white,92,259
top,91,260
wanted,91,261
flew,90,262
started,90,263
moon,89,264
nice,89,265
told,89,266
began,88,267
edward,88,268
end,88,269
ive,88,270
wish,88,271
woman,88,272
yellow,88,273
box,86,274
theres,86,275
children,85,276
cold,85,277
round,85,278
sure,85,279
fly,84,280
mrs,84,281
nose,84,282
dark,83,283
fell,83,284
shall,83,285
fun,82,286
show,82,287
book,81,288
engine,81,289
girl,81,290
goes,81,291
lets,81,292
seen,81,293
street,81,294
brown,80,295
couldnt,80,296
enough,80,297
read,80,298
try,80,299
club,79,300
four,79,301
hard,79,302
wait,79,303
better,78,304
inside,78,305
side,78,306
upon,78,307
felt,77,308
grew,77,309
tried,77,310
window,77,311
wont,77,312
work,77,313
across,76,314
arnie,76,315
everything,76,316
most,76,317
rain,76,318
sir,76,319
full,75,320
together,75,321
walk,75,322
ball,74,323
cars,74,324
fire,74,325
front,74,326
garden,74,327
hey,74,328
knew,74,329
trees,74,330
which,74,331
bad,73,332
duck,73,333
thank,73,334
these,73,335
turned,73,336
checkers,72,337
room,72,338
shoes,72,339
sister,72,340
today,72,341
hot,71,342
keep,71,343
sit,71,344
gone,70,345
king,70,346
quite,70,347
tired,70,348
turn,70,349
b,69,350
call,69,351
id,69,352
need,69,353
scarf,69,354
food,68,355
hell,68,356
maybe,68,357
nothing,68,358
pickles,68,359
pretty,68,360
wind,67,361
air,66,362
done,66,363
hand,66,364
hill,66,365
looking,66,366
poor,66,367
slow,66,368
whole,66,369
ask,65,370
grass,65,371
sad,65,372
almost,64,373
llama,64,374
pulled,64,375
sheep,64,376
father,63,377
mom,63,378
po,63,379
brother,62,380
five,62,381
mouth,62,382
outside,62,383
sometimes,62,384
without,62,385
comes,61,386
hello,61,387
loved,61,388
mary,61,389
stopped,61,390
such,61,391
brothers,60,392
city,60,393
cow,60,394
hair,60,395
open,60,396
ready,60,397
song,60,398
sound,60,399
wasnt,60,400
watch,60,401
beautiful,59,402
light,59,403
pig,59,404
shouted,59,405
child,58,406
feel,58,407
jack,58,408
peter,58,409
doing,57,410
far,57,411
jumped,57,412
lady,57,413
might,57,414
milk,57,415
bread,56,416
papa,56,417
quiet,56,418
running,56,419
watched,56,420
wouldnt,56,421
deep,55,422
fine,55,423
isnt,55,424
lion,55,425
lost,55,426
past,55,427
voice,55,428
asleep,54,429
birds,54,430
face,54,431
sing,54,432
thump,54,433
whats,54,434
anything,53,435
bye,53,436
coming,53,437
days,53,438
flying,53,439
hes,53,440
lot,53,441
own,53,442
president,53,443
stood,53,444
till,53,445
clothes,52,446
course,52,447
ground,52,448
important,52,449
ladybug,52,450
lived,52,451
quickly,52,452
tail,52,453
alone,51,454
care,51,455
catch,51,456
climbed,51,457
leave,51,458
opened,51,459
owl,51,460
slowly,51,461
warm,51,462
boys,50,463
cake,50,464
grandma,50,465
himself,50,466
honey,50,467
hurry,50,468
ice,50,469
live,50,470
makes,50,471
met,50,472
reached,50,473
rest,50,474
rock,50,475
being,49,476
bell,49,477
both,49,478
chrysanthemum,49,479
faster,49,480
kind,49,481
pascal,49,482
road,49,483
ten,49,484
bing,48,485
bright,48,486
button,48,487
dad,48,488
flowers,48,489
getting,48,490
lunch,48,491
ma,48,492
someone,48,493
theyre,48,494
buy,47,495
family,47,496
fox,47,497
instead,47,498
kept,47,499
mike,47,500
pa,47,501
party,47,502
ride,47,503
sea,47,504
silly,47,505
tinker,47,506
books,46,507
cry,46,508
eating,46,509
happened,46,510
hi,46,511
life,46,512
turtle,46,513
wow,46,514
amelia,45,515
bedelia,45,516
favorite,45,517
grow,45,518
hands,45,519
hold,45,520
hug,45,521
kiss,45,522
line,45,523
same,45,524
suddenly,45,525
sweet,45,526
toy,45,527
animals,44,528
dinner,44,529
finally,44,530
funny,44,531
jam,44,532
waiting,44,533
wonderful,44,534
young,44,535
afraid,43,536
caught,43,537
chicken,43,538
eggs,43,539
heart,43,540
legs,43,541
looks,43,542
mulligan,43,543
peep,43,544
sang,43,545
sent,43,546
set,43,547
talk,43,548
wolf,43,549
arthur,42,550
cream,42,551
dinosaurs,42,552
fence,42,553
follow,42,554
picked,42,555
stellaluna,42,556
terrible,42,557
used,42,558
waited,42,559
wet,42,560
bit,41,561
boat,41,562
caps,41,563
decided,41,564
fall,41,565
filled,41,566
floor,41,567
gruffalo,41,568
hungry,41,569
o,41,570
tom,41,571
cannot,40,572
goodnight,40,573
hall,40,574
noise,40,575
smiled,40,576
soft,40,577
youve,40,578
answered,39,579
brought,39,580
clean,39,581
dump,39,582
lilly,39,583
mean,39,584
mine,39,585
moving,39,586
sitting,39,587
stand,39,588
trucks,39,589
bee,38,590
cheese,38,591
close,38,592
covered,38,593
dig,38,594
frances,38,595
freight,38,596
guess,38,597
laughed,38,598
listen,38,599
mountain,38,600
move,38,601
pie,38,602
robin,38,603
seemed,38,604
stories,38,605
winter,38,606
bag,37,607
beep,37,608
birthday,37,609
elephant,37,610
fight,37,611
horse,37,612
idea,37,613
making,37,614
nine,37,615
perfect,37,616
playing,37,617
princess,37,618
quack,37,619
square,37,620
star,37,621
tall,37,622
1,36,623
basket,36,624
cellar,36,625
color,36,626
corner,36,627
cup,36,628
egg,36,629
foot,36,630
gold,36,631
late,36,632
loves,36,633
lucy,36,634
page,36,635
remember,36,636
stars,36,637
straight,36,638
walking,36,639
wide,36,640
believe,35,641
bring,35,642
busy,35,643
different,35,644
hole,35,645
hop,35,646
men,35,647
moment,35,648
pick,35,649
purple,35,650
second,35,651
sees,35,652
smell,35,653
start,35,654
station,35,655
teacher,35,656
though,35,657
trick,35,658
use,35,659
wild,35,660
years,35,661
yet,35,662
alice,34,663
answer,34,664
built,34,665
bump,34,666
butterfly,34,667
finished,34,668
grouchy,34,669
hen,34,670
hope,34,671
hour,34,672
jump,34,673
lights,34,674
paper,34,675
shoe,34,676
shook,34,677
slinger,34,678
socks,34,679
swish,34,680
wear,34,681
alan,33,682
anne,33,683
bike,33,684
cock,33,685
crayon,33,686
else,33,687
girls,33,688
helped,33,689
kitchen,33,690
library,33,691
mommy,33,692
pond,33,693
sam,33,694
step,33,695
stick,33,696
strong,33,697
teeth,33,698
tickle,33,699
