word,wcbc_freq_z,wcbc_rank_z,tasa_freq_z,tasa_rank_z,coca_freq_z,coca_rank_z,childes_freq_z,childes_rank_z,morphemes_z,syllables_z,aoa_z,letters_z,imageability_z,consistency_z
the,60.83119075130434,-1.7317920231084882,91.08324814511633,-1.7319173578890685,348.4633952604315,-1.7320426899399968,82.25188070499351,-1.732000358440948,-0.9916618511930213,-1.0202509913160216,-0.8768713872610403,-1.5525896566710162,-2.1741578687095395,-2.298548724872472
and,41.37453002281363,-1.731444165730662,35.75253643970042,-1.7313835568849418,168.91353556253597,-1.7320318664320047,43.63269759675524,-1.7316642043448056,-0.9916618511930213,-1.0202509913160216,-1.2073733916523735,-1.5525896566710162,-2.1741578687095395,-3.1295322612141465
a,30.48165460996404,-1.731096308352836,37.487339196925774,-1.731561490552984,151.88035356584774,-1.7320102194160205,62.91845556919845,-1.7318658968024911,-0.9916618511930213,-1.0202509913160216,-0.21586737847837414,-2.4952113977946944,NA,-2.5456772833388297
to,24.357250566050986,-1.7307484509750097,41.13528892006321,-1.7317394242210262,158.19685942385624,-1.7320210429240126,38.72925176669374,-1.7315297427063485,-0.9916618511930213,-1.0202509913160216,-0.5463693828697073,-2.0239005272328554,-2.1057634220414894,-3.127247480628724
i,17.927923863171927,-1.7304005935971836,24.285814476638436,-1.7312056232168995,120.62898336678593,-1.7319885724000366,64.31460169579309,-1.7319331276217196,-0.9916618511930213,-1.0202509913160216,-1.2073733916523735,-2.4952113977946944,NA,-1.9236235456056474
he,15.81941611500271,-1.7300527362193574,23.703300600213634,-1.7310276895488572,92.08887208439401,-1.7319669253840524,18.110381219193513,-1.7305885112371493,-0.9916618511930213,-1.0202509913160216,-1.2073733916523735,-2.0239005272328554,-0.6694800420124372,-2.298548724872472
you,14.268851955579809,-1.7297048788415312,22.76004502894524,-1.7308497558808151,69.60246220191183,-1.7319344548600761,97.86663989982736,-1.7320675892601767,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-1.5525896566710162,-0.9430578286846375,-1.751946378686488
of,13.38003484327463,-1.729357021463705,21.925648909732377,-1.7306718222127728,128.71471374440756,-1.7319993959080284,13.396663243262687,-1.7294455873102645,-0.9916618511930213,-1.0202509913160216,-0.05061637628270759,-2.0239005272328554,-2.037368975373439,-2.562520249930896
in,12.93887014519615,-1.729009164085879,20.62570492109055,-1.7304938885447305,92.40177496907702,-1.7319777488920445,27.51084759179031,-1.731193588610206,-0.9916618511930213,-1.0202509913160216,-1.2073733916523735,-2.0239005272328554,-1.9005800820373389,0.6475235373532734
was,11.342891972735757,-1.7286613067080527,18.35702761708222,-1.7299600875406038,79.44241587536713,-1.7319561018760603,9.91445152050732,-1.7285043558410653,-0.9916618511930213,-1.0202509913160216,-1.2073733916523735,-1.5525896566710162,-2.1057634220414894,-2.957675013758362
it,10.01939787850031,-1.7283134493302266,20.494841962768476,-1.7303159548766884,78.17700604117756,-1.7319452783680682,54.92197531716864,-1.7317986659832625,-0.9916618511930213,-1.0202509913160216,-0.8768713872610403,-2.0239005272328554,-1.968974528705389,0.9860967642222229
